time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
2.175,-37.28730561826066,2.2247644166328127,1.2476274223060608,0.04928889814823129,0.5534901489468846,-0.04268206451587257,111.24679066441907,-6.695304929096567,0.48681377092013467,107.98067178796845,1.8846182510930438,25.622877645797256,-16.26057142477848,-7.49999987000139,-28.21467493624316,-1.9217337410441504,0.2943340117848002
2.1791667,-37.325954808509515,2.2074931269147746,1.3064743370681053,0.05111564928609269,0.5539120650935258,-0.044881392240246995,111.12223420701443,-6.410503219828127,0.37339204289388067,108.05212081729157,1.8858652717776194,25.8878335467286,-16.358529348237827,-7.49999987000139,-27.918607523146036,-1.6246756797127846,0.37214330320670724
2.1833333,-37.34230870053306,2.191844920453659,1.338531516011277,0.05285475344458375,0.5544806351860991,-0.04709186697499235,110.9733310490898,-6.063434585363234,0.30321111664505684,108.12315866427687,1.8871051160149,26.097904256144115,-16.58231519968211,-7.49999987000139,-27.599256216417942,-1.3101382948347848,0.48444213780015244
2.1875,-37.33814940024637,2.176846279662824,1.345862633039526,0.05447997456870422,0.555216786532108,-0.04920733172002136,110.80268021976802,-5.665901011777958,0.28261085792361695,108.18737056704322,1.8882258250927624,26.244889588412438,-16.922676547623155,-7.49999987000139,-27.270185761526488,-0.9930636168850009,0.6270527058037526
2.1916667,-37.31512383467458,2.1612558322317383,1.3313320314128425,0.05597406570210047,0.5561389552808782,-0.05114015414626165,110.61228637242019,-5.230562107619141,0.31548193600063856,108.23817504513089,1.8891125305071448,26.322760245481454,-17.366649415836605,-7.49999987000139,-26.94459064623488,-0.6881206894356516,0.7935752581446054
2.1958333,-37.2747020941798,2.143816056782623,1.2981308961532554,0.05733172563587289,0.5572615147971415,-0.05282555261912258,110.4031454982885,-4.77046457049894,0.40286941760899536,108.26924773463173,1.8896548512807956,26.328453151548477,-17.898261005898355,-7.49999987000139,-26.63435029721164,-0.4087705534534242,0.9758364467346057
2.2,-37.218151100783615,2.123473092617087,1.249360589639527,0.05856132414353752,0.5585933724631021,-0.05422296917935538,110.17495833819255,-4.2986419881571365,0.5428506687970502,108.2749496798594,1.8897543690637628,26.262464773036953,-18.499300308621237,-7.49999987000139,-26.349193565106862,-0.16643789239680223,1.164493399694031
2.2041667,-37.14652994417186,2.09953312822027,1.187728001500292,0.059685217906770345,0.5601369830649396,-0.05531466689748313,109.92601117751795,-3.8277752240802556,0.7307084994401284,108.25070214874121,1.889331169897055,26.12913687665934,-19.150127551408374,-7.49999987000139,-26.096036710924928,0.030138920856864142,1.3497466037879742
2.2083333,-37.0607183192399,2.0717387092945296,1.1153863723098054,0.06073866697712728,0.561888009931263,-0.05610216271276679,109.65323782580401,-3.3698883735757303,0.9593731692936222,108.19324907285707,1.888328424656531,25.936575186111913,-19.83050357741221,-7.49999987000139,-25.878542110903748,0.175325822682561,1.522097550662502
2.2125,-36.961486891806516,2.0402672951932224,1.0339257855783142,0.061767473660642086,0.5638357820531666,-0.056601391404100955,109.35245339335277,-2.936051279320509,1.2200641502568108,108.10076411319338,1.8867142577038993,25.696196130728218,-20.520425098069648,-7.49999987000139,-25.69692889136902,0.26674834225909705,1.673074126957313
